,Disease,Symptom1,Symptom2,Symptom3,Symptom4
1042,Hepatitis D, jointpain, fatigue, yellowishskin, darkurine
1043,Hepatitis D, jointpain, vomiting, yellowishskin, darkurine
1044,Hepatitis D, jointpain, vomiting, fatigue, darkurine
1045,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1046,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1047,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1048,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1049,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1050,Hepatitis E, jointpain, vomiting, fatigue, highfever
1051,Hepatitis E, jointpain, vomiting, fatigue, highfever
1052,Hepatitis E, jointpain, vomiting, fatigue, highfever
1053,Hepatitis E, vomiting, fatigue, highfever, yellowishskin
1054,Hepatitis E, jointpain, fatigue, highfever, yellowishskin
1055,Hepatitis E, jointpain, vomiting, highfever, yellowishskin
1056,Hepatitis E, jointpain, vomiting, fatigue, yellowishskin
1057,Hepatitis E, jointpain, vomiting, fatigue, highfever
1058,Hepatitis E, jointpain, vomiting, fatigue, highfever
1059,Hepatitis E, jointpain, vomiting, fatigue, highfever
1060,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
1061,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
1062,Alcoholic hepatitis, yellowishskin, abdominalpain, swellingofstomach, distentionofabdomen
1063,Alcoholic hepatitis, vomiting, abdominalpain, swellingofstomach, distentionofabdomen
1064,Alcoholic hepatitis, vomiting, yellowishskin, swellingofstomach, distentionofabdomen
1065,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, distentionofabdomen
1066,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
1067,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
1068,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
1069,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
1070,Tuberculosis, chills, vomiting, fatigue, weightloss
1071,Tuberculosis, chills, vomiting, fatigue, weightloss
1072,Tuberculosis, vomiting, fatigue, weightloss, cough
1073,Tuberculosis, chills, fatigue, weightloss, cough
1074,Tuberculosis, chills, vomiting, weightloss, cough
1075,Tuberculosis, chills, vomiting, fatigue, cough
1076,Tuberculosis, chills, vomiting, fatigue, weightloss
1077,Tuberculosis, chills, vomiting, fatigue, weightloss
1078,Tuberculosis, chills, vomiting, fatigue, weightloss
1079,Tuberculosis, chills, vomiting, fatigue, weightloss
1080,Common Cold, continuoussneezing, chills, fatigue, cough
1081,Common Cold, continuoussneezing, chills, fatigue, cough
1082,Common Cold, chills, fatigue, cough, highfever
1083,Common Cold, continuoussneezing, fatigue, cough, highfever
1084,Common Cold, continuoussneezing, chills, cough, highfever
1085,Common Cold, continuoussneezing, chills, fatigue, highfever
1086,Common Cold, continuoussneezing, chills, fatigue, cough
1087,Common Cold, continuoussneezing, chills, fatigue, cough
1088,Common Cold, continuoussneezing, chills, fatigue, cough
1089,Common Cold, continuoussneezing, chills, fatigue, cough
1090,Pneumonia, chills, fatigue, cough, highfever
1091,Pneumonia, chills, fatigue, cough, highfever
1092,Pneumonia, chills, fatigue, cough, highfever
1093,Pneumonia, fatigue, cough, highfever, breathlessness
1094,Pneumonia, chills, cough, highfever, breathlessness
1095,Pneumonia, chills, fatigue, highfever, breathlessness
1096,Pneumonia, chills, fatigue, cough, breathlessness
1097,Pneumonia, chills, fatigue, cough, highfever
1098,Pneumonia, chills, fatigue, cough, highfever
1099,Pneumonia, chills, fatigue, cough, highfever
1100,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
1101,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
1102,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
1103,Dimorphic hemmorhoids(piles), painduringbowelmovements, paininanalregion, bloodystool, irritationinanus
1104,Dimorphic hemmorhoids(piles), constipation, paininanalregion, bloodystool, irritationinanus
1105,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, bloodystool, irritationinanus
1106,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, irritationinanus
1107,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
1108,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
1109,Dimorphic hemmorhoids(piles), constipation, painduringbowelmovements, paininanalregion, bloodystool
1110,Heart attack, vomiting, breathlessness, sweating, chestpain
1111,Heart attack, vomiting, breathlessness, sweating, chestpain
1112,Heart attack, breathlessness, sweating, chestpain,
1113,Heart attack, vomiting, sweating, chestpain,
1114,Heart attack, vomiting, breathlessness, chestpain,
1115,Heart attack, vomiting, breathlessness, sweating,
1116,Heart attack, vomiting, breathlessness, sweating, chestpain
1117,Heart attack, breathlessness, sweating, chestpain,
1118,Heart attack, vomiting, sweating, chestpain,
1119,Heart attack, vomiting, breathlessness, chestpain,
1120,Varicose veins, fatigue, cramps, bruising, obesity
1121,Varicose veins, fatigue, cramps, bruising, obesity
1122,Varicose veins, cramps, bruising, obesity, swollenlegs
1123,Varicose veins, fatigue, bruising, obesity, swollenlegs
1124,Varicose veins, fatigue, cramps, obesity, swollenlegs
1125,Varicose veins, fatigue, cramps, bruising, swollenlegs
1126,Varicose veins, fatigue, cramps, bruising, obesity
1127,Varicose veins, fatigue, cramps, bruising, obesity
1128,Varicose veins, fatigue, cramps, bruising, obesity
1129,Varicose veins, fatigue, cramps, bruising, obesity
1130,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, moodswings
1131,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, moodswings
1132,Hypothyroidism, weightgain, coldhandsandfeets, moodswings, lethargy
1133,Hypothyroidism, weightgain, coldhandsandfeets, moodswings, lethargy
1134,Hypothyroidism, fatigue, coldhandsandfeets, moodswings, lethargy
1135,Hypothyroidism, fatigue, weightgain, moodswings, lethargy
1136,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, lethargy
1137,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, moodswings
1138,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, moodswings
1139,Hypothyroidism, fatigue, weightgain, coldhandsandfeets, moodswings
1140,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
1141,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
1142,Hyperthyroidism, moodswings, weightloss, restlessness, sweating
1143,Hyperthyroidism, fatigue, weightloss, restlessness, sweating
1144,Hyperthyroidism, fatigue, moodswings, restlessness, sweating
1145,Hyperthyroidism, fatigue, moodswings, weightloss, sweating
1146,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
1147,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
1148,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
1149,Hyperthyroidism, fatigue, moodswings, weightloss, restlessness
1150,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1151,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1152,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1153,Hypoglycemia, fatigue, anxiety, sweating, headache
1154,Hypoglycemia, vomiting, anxiety, sweating, headache
1155,Hypoglycemia, vomiting, fatigue, sweating, headache
1156,Hypoglycemia, vomiting, fatigue, anxiety, headache
1157,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1158,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1159,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1160,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
1161,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
1162,Osteoarthristis, neckpain, kneepain, hipjointpain, swellingjoints
1163,Osteoarthristis, jointpain, kneepain, hipjointpain, swellingjoints
1164,Osteoarthristis, jointpain, neckpain, hipjointpain, swellingjoints
1165,Osteoarthristis, jointpain, neckpain, kneepain, swellingjoints
1166,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
1167,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
1168,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
1169,Osteoarthristis, jointpain, neckpain, kneepain, hipjointpain
1170,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
1171,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
1172,Arthritis, stiffneck, swellingjoints, movementstiffness, painfulwalking
1173,Arthritis, muscleweakness, swellingjoints, movementstiffness, painfulwalking
1174,Arthritis, muscleweakness, stiffneck, movementstiffness, painfulwalking
1175,Arthritis, muscleweakness, stiffneck, swellingjoints, painfulwalking
1176,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
1177,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
1178,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
1179,Arthritis, muscleweakness, stiffneck, swellingjoints, movementstiffness
1180,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinningmovements
1181,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinningmovements
1182,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinningmovements, lossofbalance
1183,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinningmovements, lossofbalance
1184,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinningmovements, lossofbalance
1185,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, lossofbalance
1186,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinningmovements
1187,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinningmovements
1188,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinningmovements
1189,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, lossofbalance
1190,Acne, skinrash, pusfilledpimples, blackheads, scurring
1191,Acne, skinrash, pusfilledpimples, blackheads, scurring
1192,Acne, pusfilledpimples, blackheads, scurring,
1193,Acne, skinrash, blackheads, scurring,
1194,Acne, skinrash, pusfilledpimples, scurring,
1195,Acne, skinrash, pusfilledpimples, blackheads,
1196,Acne, skinrash, pusfilledpimples, blackheads, scurring
1197,Acne, skinrash, pusfilledpimples, blackheads,
1198,Acne, skinrash, pusfilledpimples, scurring,
1199,Acne, skinrash, blackheads, scurring,
1200,Urinary tract infection, burningmicturition, bladderdiscomfort, foulsmellofurine, continuousfeelofurine
1201,Urinary tract infection, burningmicturition, bladderdiscomfort, foulsmellofurine, continuousfeelofurine
1202,Urinary tract infection, bladderdiscomfort, foulsmellofurine, continuousfeelofurine,
1203,Urinary tract infection, burningmicturition, foulsmellofurine, continuousfeelofurine,
1204,Urinary tract infection, burningmicturition, bladderdiscomfort, continuousfeelofurine,
1205,Urinary tract infection, burningmicturition, bladderdiscomfort, foulsmellofurine,
1206,Urinary tract infection, burningmicturition, bladderdiscomfort, foulsmellofurine, continuousfeelofurine
1207,Urinary tract infection, burningmicturition, bladderdiscomfort, continuousfeelofurine,
1208,Urinary tract infection, bladderdiscomfort, foulsmellofurine, continuousfeelofurine,
1209,Urinary tract infection, burningmicturition, bladderdiscomfort, continuousfeelofurine,
1210,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
1211,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
1212,Psoriasis, jointpain, skinpeeling, silverlikedusting, smalldentsinnails
1213,Psoriasis, skinrash, skinpeeling, silverlikedusting, smalldentsinnails
1214,Psoriasis, skinrash, jointpain, silverlikedusting, smalldentsinnails
1215,Psoriasis, skinrash, jointpain, skinpeeling, smalldentsinnails
1216,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
1217,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
1218,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
1219,Psoriasis, skinrash, jointpain, skinpeeling, silverlikedusting
1220,Impetigo, skinrash, highfever, blister, redsorearoundnose
1221,Impetigo, skinrash, highfever, blister, redsorearoundnose
1222,Impetigo, highfever, blister, redsorearoundnose, yellowcrustooze
1223,Impetigo, skinrash, blister, redsorearoundnose, yellowcrustooze
1224,Impetigo, skinrash, blister, redsorearoundnose, yellowcrustooze
1225,Impetigo, skinrash, highfever, redsorearoundnose, yellowcrustooze
1226,Impetigo, skinrash, highfever, blister, yellowcrustooze
1227,Impetigo, skinrash, highfever, blister, redsorearoundnose
1228,Impetigo, skinrash, highfever, blister, redsorearoundnose
1229,Impetigo, skinrash, blister, redsorearoundnose, yellowcrustooze
1230,Fungal infection,itching, skinrash, nodalskineruptions, dischromicpatches
1231,Fungal infection, skinrash, nodalskineruptions, dischromicpatches,
1232,Fungal infection,itching, nodalskineruptions, dischromicpatches,
1233,Fungal infection,itching, skinrash, dischromicpatches,
1234,Fungal infection,itching, skinrash, nodalskineruptions,
1235,Fungal infection, skinrash, nodalskineruptions, dischromicpatches,
1236,Fungal infection,itching, nodalskineruptions, dischromicpatches,
1237,Fungal infection,itching, skinrash, dischromicpatches,
1238,Fungal infection,itching, skinrash, nodalskineruptions,
1239,Fungal infection,itching, skinrash, nodalskineruptions, dischromicpatches
1240,Allergy, continuoussneezing, shivering, chills, wateringfromeyes
1241,Allergy, shivering, chills, wateringfromeyes,
1242,Allergy, continuoussneezing, chills, wateringfromeyes,
1243,Allergy, continuoussneezing, shivering, wateringfromeyes,
1244,Allergy, continuoussneezing, shivering, chills,
1245,Allergy, shivering, chills, wateringfromeyes,
1246,Allergy, continuoussneezing, chills, wateringfromeyes,
1247,Allergy, continuoussneezing, shivering, wateringfromeyes,
1248,Allergy, continuoussneezing, shivering, chills,
1249,Allergy, continuoussneezing, shivering, chills, wateringfromeyes
1250,GERD, stomachpain, acidity, ulcersontongue, vomiting
1251,GERD, stomachpain, ulcersontongue, vomiting, cough
1252,GERD, stomachpain, acidity, vomiting, cough
1253,GERD, stomachpain, acidity, ulcersontongue, cough
1254,GERD, stomachpain, acidity, ulcersontongue, vomiting
1255,GERD, stomachpain, acidity, ulcersontongue, vomiting
1256,GERD, acidity, ulcersontongue, vomiting, cough
1257,GERD, stomachpain, ulcersontongue, vomiting, cough
1258,GERD, stomachpain, acidity, vomiting, cough
1259,GERD, stomachpain, acidity, ulcersontongue, cough
1260,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
1261,Chronic cholestasis, vomiting, yellowishskin, nausea, lossofappetite
1262,Chronic cholestasis,itching, yellowishskin, nausea, lossofappetite
1263,Chronic cholestasis,itching, vomiting, nausea, lossofappetite
1264,Chronic cholestasis,itching, vomiting, yellowishskin, lossofappetite
1265,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
1266,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
1267,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
1268,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
1269,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
1270,Drug Reaction,itching, skinrash, stomachpain, burningmicturition
1271,Drug Reaction,itching, stomachpain, burningmicturition, spottingurination
1272,Drug Reaction,itching, skinrash, burningmicturition, spottingurination
1273,Drug Reaction,itching, skinrash, stomachpain, spottingurination
1274,Drug Reaction,itching, skinrash, stomachpain, burningmicturition
1275,Drug Reaction, skinrash, stomachpain, burningmicturition, spottingurination
1276,Drug Reaction,itching, stomachpain, burningmicturition, spottingurination
1277,Drug Reaction,itching, skinrash, burningmicturition, spottingurination
1278,Drug Reaction,itching, skinrash, stomachpain, spottingurination
1279,Drug Reaction,itching, skinrash, stomachpain, burningmicturition
1280,Peptic ulcer diseae, vomiting, lossofappetite, abdominalpain, passageofgases
1281,Peptic ulcer diseae, vomiting, indigestion, abdominalpain, passageofgases
1282,Peptic ulcer diseae, indigestion, lossofappetite, abdominalpain, passageofgases
1283,Peptic ulcer diseae, vomiting, lossofappetite, abdominalpain, passageofgases
1284,Peptic ulcer diseae, vomiting, indigestion, abdominalpain, passageofgases
1285,Peptic ulcer diseae, vomiting, indigestion, lossofappetite, passageofgases
1286,Peptic ulcer diseae, vomiting, indigestion, lossofappetite, abdominalpain
1287,Peptic ulcer diseae, vomiting, indigestion, lossofappetite, abdominalpain
1288,Peptic ulcer diseae, vomiting, indigestion, lossofappetite, abdominalpain
1289,Peptic ulcer diseae, vomiting, indigestion, lossofappetite, abdominalpain
1290,AIDS, musclewasting, patchesinthroat, highfever, extramaritalcontacts
1291,AIDS, patchesinthroat, highfever, extramaritalcontacts,
1292,AIDS, musclewasting, highfever, extramaritalcontacts,
1293,AIDS, musclewasting, patchesinthroat, extramaritalcontacts,
1294,AIDS, musclewasting, patchesinthroat, highfever,
1295,AIDS, musclewasting, patchesinthroat, highfever, extramaritalcontacts
1296,AIDS, musclewasting, patchesinthroat, highfever, extramaritalcontacts
1297,AIDS, patchesinthroat, highfever, extramaritalcontacts,
1298,AIDS, musclewasting, highfever, extramaritalcontacts,
1299,AIDS, musclewasting, patchesinthroat, highfever,
1300,Diabetes , fatigue, weightloss, restlessness, lethargy
1301,Diabetes , fatigue, weightloss, restlessness, lethargy
1302,Diabetes , weightloss, restlessness, lethargy, irregularsugarlevel
1303,Diabetes , fatigue, restlessness, lethargy, irregularsugarlevel
1304,Diabetes , fatigue, weightloss, lethargy, irregularsugarlevel
1305,Diabetes , fatigue, weightloss, restlessness, irregularsugarlevel
1306,Diabetes , fatigue, weightloss, restlessness, lethargy
1307,Diabetes , fatigue, weightloss, restlessness, lethargy
1308,Diabetes , fatigue, weightloss, restlessness, lethargy
1309,Diabetes , fatigue, weightloss, restlessness, lethargy
1310,Gastroenteritis, vomiting, sunkeneyes, dehydration, diarrhoea
1311,Gastroenteritis, vomiting, sunkeneyes, dehydration, diarrhoea
1312,Gastroenteritis, sunkeneyes, dehydration, diarrhoea,
1313,Gastroenteritis, vomiting, dehydration, diarrhoea,
1314,Gastroenteritis, vomiting, sunkeneyes, diarrhoea,
1315,Gastroenteritis, vomiting, sunkeneyes, dehydration,
1316,Gastroenteritis, vomiting, sunkeneyes, dehydration, diarrhoea
1317,Gastroenteritis, sunkeneyes, dehydration, diarrhoea,
1318,Gastroenteritis, vomiting, dehydration, diarrhoea,
1319,Gastroenteritis, vomiting, sunkeneyes, diarrhoea,
1320,Bronchial Asthma, fatigue, cough, highfever, breathlessness
1321,Bronchial Asthma, cough, highfever, breathlessness, familyhistory
1322,Bronchial Asthma, fatigue, highfever, breathlessness, familyhistory
1323,Bronchial Asthma, fatigue, cough, breathlessness, familyhistory
1324,Bronchial Asthma, fatigue, cough, highfever, familyhistory
1325,Bronchial Asthma, fatigue, cough, highfever, breathlessness
1326,Bronchial Asthma, fatigue, cough, highfever, breathlessness
1327,Bronchial Asthma, fatigue, cough, highfever, breathlessness
1328,Bronchial Asthma, cough, highfever, breathlessness, familyhistory
1329,Bronchial Asthma, fatigue, highfever, breathlessness, familyhistory
1330,Hypertension , headache, chestpain, dizziness, lossofbalance
1331,Hypertension , chestpain, dizziness, lossofbalance, lackofconcentration
1332,Hypertension , headache, dizziness, lossofbalance, lackofconcentration
1333,Hypertension , headache, chestpain, lossofbalance, lackofconcentration
1334,Hypertension , headache, chestpain, dizziness, lackofconcentration
1335,Hypertension , headache, chestpain, dizziness, lossofbalance
1336,Hypertension , headache, chestpain, dizziness, lossofbalance
1337,Hypertension , chestpain, dizziness, lossofbalance, lackofconcentration
1338,Hypertension , headache, dizziness, lossofbalance, lackofconcentration
1339,Hypertension , headache, chestpain, lossofbalance, lackofconcentration
1340,Migraine, acidity, indigestion, headache, blurredanddistortedvision
1341,Migraine, indigestion, headache, blurredanddistortedvision, excessivehunger
1342,Migraine, acidity, headache, blurredanddistortedvision, excessivehunger
1343,Migraine, acidity, indigestion, blurredanddistortedvision, excessivehunger
1344,Migraine, acidity, indigestion, headache, excessivehunger
1345,Migraine, acidity, indigestion, headache, blurredanddistortedvision
1346,Migraine, acidity, indigestion, headache, blurredanddistortedvision
1347,Migraine, acidity, indigestion, headache, blurredanddistortedvision
1348,Migraine, acidity, indigestion, headache, blurredanddistortedvision
1349,Migraine, acidity, indigestion, headache, blurredanddistortedvision
1350,Cervical spondylosis, backpain, weaknessinlimbs, neckpain, dizziness
1351,Cervical spondylosis, backpain, weaknessinlimbs, neckpain, dizziness
1352,Cervical spondylosis, weaknessinlimbs, neckpain, dizziness, lossofbalance
1353,Cervical spondylosis, backpain, neckpain, dizziness, lossofbalance
1354,Cervical spondylosis, backpain, weaknessinlimbs, dizziness, lossofbalance
1355,Cervical spondylosis, backpain, weaknessinlimbs, neckpain, lossofbalance
1356,Cervical spondylosis, backpain, weaknessinlimbs, neckpain, dizziness
1357,Cervical spondylosis, backpain, weaknessinlimbs, neckpain, dizziness
1358,Cervical spondylosis, weaknessinlimbs, neckpain, dizziness, lossofbalance
1359,Cervical spondylosis, backpain, neckpain, dizziness, lossofbalance
1360,Paralysis (brain hemorrhage), vomiting, headache, weaknessofonebodyside, alteredsensorium
1361,Paralysis (brain hemorrhage), vomiting, headache, weaknessofonebodyside, alteredsensorium
1362,Paralysis (brain hemorrhage), headache, weaknessofonebodyside, alteredsensorium,
1363,Paralysis (brain hemorrhage), vomiting, weaknessofonebodyside, alteredsensorium,
1364,Paralysis (brain hemorrhage), vomiting, headache, alteredsensorium,
1365,Paralysis (brain hemorrhage), vomiting, headache, weaknessofonebodyside,
1366,Paralysis (brain hemorrhage), vomiting, headache, weaknessofonebodyside, alteredsensorium
1367,Paralysis (brain hemorrhage), headache, weaknessofonebodyside, alteredsensorium,
1368,Paralysis (brain hemorrhage), vomiting, weaknessofonebodyside, alteredsensorium,
1369,Paralysis (brain hemorrhage), vomiting, headache, alteredsensorium,
1370,Jaundice,itching, vomiting, fatigue, weightloss
1371,Jaundice,itching, vomiting, fatigue, weightloss
1372,Jaundice, vomiting, fatigue, weightloss, highfever
1373,Jaundice,itching, fatigue, weightloss, highfever
1374,Jaundice,itching, vomiting, weightloss, highfever
1375,Jaundice,itching, vomiting, fatigue, highfever
1376,Jaundice,itching, vomiting, fatigue, weightloss
1377,Jaundice,itching, vomiting, fatigue, weightloss
1378,Jaundice,itching, vomiting, fatigue, weightloss
1379,Jaundice,itching, vomiting, fatigue, weightloss
1380,Malaria, chills, vomiting, highfever, sweating
1381,Malaria, chills, vomiting, highfever, sweating
1382,Malaria, chills, vomiting, highfever, sweating
1383,Malaria, vomiting, highfever, sweating, headache
1384,Malaria, chills, highfever, sweating, headache
1385,Malaria, chills, vomiting, sweating, headache
1386,Malaria, chills, vomiting, highfever, headache
1387,Malaria, chills, vomiting, highfever, sweating
1388,Malaria, chills, vomiting, highfever, sweating
1389,Malaria, chills, vomiting, highfever, sweating
1390,Chicken pox,itching, skinrash, fatigue, lethargy
1391,Chicken pox, skinrash, fatigue, lethargy, highfever
1392,Chicken pox,itching, fatigue, lethargy, highfever
1393,Chicken pox,itching, skinrash, lethargy, highfever
1394,Chicken pox,itching, skinrash, fatigue, highfever
1395,Chicken pox,itching, skinrash, fatigue, lethargy
1396,Chicken pox,itching, skinrash, fatigue, lethargy
1397,Chicken pox,itching, skinrash, fatigue, lethargy
1398,Chicken pox,itching, skinrash, fatigue, lethargy
1399,Chicken pox,itching, skinrash, fatigue, lethargy
1400,Dengue, skinrash, chills, jointpain, vomiting
1401,Dengue, skinrash, chills, jointpain, vomiting
1402,Dengue, skinrash, chills, jointpain, vomiting
1403,Dengue, skinrash, chills, jointpain, vomiting
1404,Dengue, chills, jointpain, vomiting, fatigue
1405,Dengue, skinrash, jointpain, vomiting, fatigue
1406,Dengue, skinrash, chills, vomiting, fatigue
1407,Dengue, skinrash, chills, jointpain, fatigue
1408,Dengue, skinrash, chills, jointpain, vomiting
1409,Dengue, skinrash, chills, jointpain, vomiting
1410,Typhoid, chills, vomiting, fatigue, highfever
1411,Typhoid, chills, vomiting, fatigue, highfever
1412,Typhoid, chills, vomiting, fatigue, highfever
1413,Typhoid, chills, vomiting, fatigue, highfever
1414,Typhoid, chills, vomiting, fatigue, highfever
1415,Typhoid, chills, vomiting, fatigue, highfever
1416,Typhoid, chills, vomiting, fatigue, highfever
1417,Typhoid, chills, vomiting, fatigue, highfever
1418,Typhoid, chills, vomiting, fatigue, highfever
1419,Typhoid, chills, fatigue, highfever, headache
1420,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
1421,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
1422,hepatitis A, vomiting, yellowishskin, darkurine, nausea
1423,hepatitis A, jointpain, yellowishskin, darkurine, nausea
1424,hepatitis A, jointpain, vomiting, darkurine, nausea
1425,hepatitis A, jointpain, vomiting, yellowishskin, nausea
1426,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
1427,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
1428,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
1429,hepatitis A, jointpain, vomiting, yellowishskin, darkurine
1430,Hepatitis B,itching, fatigue, lethargy, yellowishskin
1431,Hepatitis B,itching, fatigue, lethargy, yellowishskin
1432,Hepatitis B, fatigue, lethargy, yellowishskin, darkurine
1433,Hepatitis B,itching, lethargy, yellowishskin, darkurine
1434,Hepatitis B,itching, fatigue, yellowishskin, darkurine
1435,Hepatitis B,itching, fatigue, lethargy, darkurine
1436,Hepatitis B,itching, fatigue, lethargy, yellowishskin
1437,Hepatitis B,itching, fatigue, lethargy, yellowishskin
1438,Hepatitis B,itching, fatigue, lethargy, yellowishskin
1439,Hepatitis B,itching, fatigue, lethargy, yellowishskin
1440,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
1441,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
1442,Hepatitis C, yellowishskin, nausea, lossofappetite, yellowingofeyes
1443,Hepatitis C, fatigue, nausea, lossofappetite, yellowingofeyes
1444,Hepatitis C, fatigue, yellowishskin, lossofappetite, yellowingofeyes
1445,Hepatitis C, fatigue, yellowishskin, nausea, yellowingofeyes
1446,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
1447,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
1448,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
1449,Hepatitis C, fatigue, yellowishskin, nausea, lossofappetite
1450,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1451,Hepatitis D, vomiting, fatigue, yellowishskin, darkurine
1452,Hepatitis D, jointpain, fatigue, yellowishskin, darkurine
1453,Hepatitis D, jointpain, vomiting, yellowishskin, darkurine
1454,Hepatitis D, jointpain, vomiting, fatigue, darkurine
1455,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1456,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1457,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1458,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1459,Hepatitis D, jointpain, vomiting, fatigue, yellowishskin
1460,Hepatitis E, jointpain, vomiting, fatigue, highfever
1461,Hepatitis E, jointpain, vomiting, fatigue, highfever
1462,Hepatitis E, jointpain, vomiting, fatigue, highfever
1463,Hepatitis E, vomiting, fatigue, highfever, yellowishskin
1464,Hepatitis E, jointpain, fatigue, highfever, yellowishskin
1465,Hepatitis E, jointpain, vomiting, highfever, yellowishskin
1466,Hepatitis E, jointpain, vomiting, fatigue, yellowishskin
1467,Hepatitis E, jointpain, vomiting, fatigue, highfever
1468,Hepatitis E, jointpain, vomiting, fatigue, highfever
1469,Hepatitis E, jointpain, vomiting, fatigue, highfever
1470,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
1471,Alcoholic hepatitis, vomiting, yellowishskin, abdominalpain, swellingofstomach
